"organization_name","site_name","date","dow","fiscal week #","fiscal month","fiscal year","traffic","currency","comp"
"Alta Plaza Mall, Panama","Alta Plaza Mall","12/04/2021","Lun","16","Apr","2021","5820","NONE","Comp"
"Alta Plaza Mall, Panama","Alta Plaza Mall","13/04/2021","Mar","16","Apr","2021","6110","NONE","Comp"
"Alta Plaza Mall, Panama","Alta Plaza Mall","14/04/2021","Mie","16","Apr","2021","6576","NONE","Comp"
"Alta Plaza Mall, Panama","Alta Plaza Mall","15/04/2021","Jue","16","Apr","2021","7369","NONE","Comp"
"Alta Plaza Mall, Panama","Alta Plaza Mall","16/04/2021","Vie","16","Apr","2021","9014","NONE","Comp"
"Alta Plaza Mall, Panama","Alta Plaza Mall","17/04/2021","Sáb","16","Apr","2021","14185","NONE","Comp"
"Alta Plaza Mall, Panama","Alta Plaza Mall","18/04/2021","Dom","17","Apr","2021","13359","NONE","Comp"
"Alta Plaza Mall, Panama","Alta Plaza Mall","19/04/2021","Lun","17","Apr","2021","6846","NONE","Comp"
"Alta Plaza Mall, Panama","Alta Plaza Mall","20/04/2021","Mar","17","Apr","2021","7246","NONE","Comp"
"Alta Plaza Mall, Panama","Alta Plaza Mall","21/04/2021","Mie","17","Apr","2021","7666","NONE","Comp"
"Alta Plaza Mall, Panama","Alta Plaza Mall","22/04/2021","Jue","17","Apr","2021","7615","NONE","Comp"
"Alta Plaza Mall, Panama","Alta Plaza Mall","23/04/2021","Vie","17","Apr","2021","9178","NONE","Comp"
"Alta Plaza Mall, Panama","Alta Plaza Mall","24/04/2021","Sáb","17","Apr","2021","13798","NONE","Comp"
"Alta Plaza Mall, Panama","Alta Plaza Mall","25/04/2021","Dom","18","Apr","2021","12373","NONE","Comp"
"Alta Plaza Mall, Panama","Alta Plaza Mall","26/04/2021","Lun","18","Apr","2021","7247","NONE","Comp"
"Alta Plaza Mall, Panama","Alta Plaza Mall","27/04/2021","Mar","18","Apr","2021","7401","NONE","Comp"
"Alta Plaza Mall, Panama","Alta Plaza Mall","28/04/2021","Mie","18","Apr","2021","7787","NONE","Comp"
"Alta Plaza Mall, Panama","Alta Plaza Mall","29/04/2021","Jue","18","Apr","2021","8734","NONE","Comp"
"Alta Plaza Mall, Panama","Alta Plaza Mall","30/04/2021","Vie","18","Apr","2021","10062","NONE","Comp"
"Alta Plaza Mall, Panama","Alta Plaza Mall","01/05/2021","Sáb","18","May","2021","15172","NONE","Comp"
"Alta Plaza Mall, Panama","Alta Plaza Mall","02/05/2021","Dom","19","May","2021","14005","NONE","Comp"
"Alta Plaza Mall, Panama","Alta Plaza Mall","03/05/2021","Lun","19","May","2021","6708","NONE","Comp"
"Alta Plaza Mall, Panama","Alta Plaza Mall","04/05/2021","Mar","19","May","2021","6979","NONE","Comp"
"Alta Plaza Mall, Panama","Alta Plaza Mall","05/05/2021","Mie","19","May","2021","7770","NONE","Comp"
"Alta Plaza Mall, Panama","Alta Plaza Mall","06/05/2021","Jue","19","May","2021","8065","NONE","Comp"
"Alta Plaza Mall, Panama","Alta Plaza Mall","07/05/2021","Vie","19","May","2021","8613","NONE","Comp"
"Alta Plaza Mall, Panama","Alta Plaza Mall","08/05/2021","Sáb","19","May","2021","14242","NONE","Comp"
"Alta Plaza Mall, Panama","Alta Plaza Mall","09/05/2021","Dom","20","May","2021","13227","NONE","Comp"
"Alta Plaza Mall, Panama","Alta Plaza Mall","10/05/2021","Lun","20","May","2021","6978","NONE","Comp"
"Alta Plaza Mall, Panama","Alta Plaza Mall","11/05/2021","Mar","20","May","2021","7251","NONE","Comp"
"Alta Plaza Mall, Panama","Alta Plaza Mall","12/05/2021","Mie","20","May","2021","7506","NONE","Comp"
"Alta Plaza Mall, Panama","Alta Plaza Mall","13/05/2021","Jue","20","May","2021","8263","NONE","Comp"
"Alta Plaza Mall, Panama","Alta Plaza Mall","14/05/2021","Vie","20","May","2021","10040","NONE","Comp"
"Alta Plaza Mall, Panama","Alta Plaza Mall","15/05/2021","Sáb","20","May","2021","15134","NONE","Comp"
"Alta Plaza Mall, Panama","Alta Plaza Mall","16/05/2021","Dom","21","May","2021","14436","NONE","Comp"
"Alta Plaza Mall, Panama","Alta Plaza Mall","17/05/2021","Lun","21","May","2021","7650","NONE","Comp"
"Alta Plaza Mall, Panama","Alta Plaza Mall","18/05/2021","Mar","21","May","2021","8164","NONE","Comp"
"Alta Plaza Mall, Panama","Alta Plaza Mall","19/05/2021","Mie","21","May","2021","7905","NONE","Comp"
"Alta Plaza Mall, Panama","Alta Plaza Mall","20/05/2021","Jue","21","May","2021","8238","NONE","Comp"
"Alta Plaza Mall, Panama","Alta Plaza Mall","21/05/2021","Vie","21","May","2021","9233","NONE","Comp"
"Alta Plaza Mall, Panama","Alta Plaza Mall","22/05/2021","Sáb","21","May","2021","13242","NONE","Comp"
"Alta Plaza Mall, Panama","Alta Plaza Mall","23/05/2021","Dom","22","May","2021","12412","NONE","Comp"
"Alta Plaza Mall, Panama","Alta Plaza Mall","24/05/2021","Lun","22","May","2021","7202","NONE","Comp"
"Alta Plaza Mall, Panama","Alta Plaza Mall","25/05/2021","Mar","22","May","2021","7340","NONE","Comp"
"Alta Plaza Mall, Panama","Alta Plaza Mall","26/05/2021","Mie","22","May","2021","6727","NONE","Comp"
"Alta Plaza Mall, Panama","Alta Plaza Mall","27/05/2021","Jue","22","May","2021","7217","NONE","Comp"
"Alta Plaza Mall, Panama","Alta Plaza Mall","28/05/2021","Vie","22","May","2021","9848","NONE","Comp"
"Alta Plaza Mall, Panama","Alta Plaza Mall","29/05/2021","Sáb","22","May","2021","16360","NONE","Comp"
"Alta Plaza Mall, Panama","Alta Plaza Mall","30/05/2021","Dom","23","May","2021","15726","NONE","Comp"
"Alta Plaza Mall, Panama","Alta Plaza Mall","31/05/2021","Lun","23","May","2021","8360","NONE","Comp"
"Alta Plaza Mall, Panama","Alta Plaza Mall","01/06/2021","Mar","23","Jun","2021","7780","NONE","Comp"
"Alta Plaza Mall, Panama","Alta Plaza Mall","02/06/2021","Mie","23","Jun","2021","8230","NONE","Comp"
"Alta Plaza Mall, Panama","Alta Plaza Mall","03/06/2021","Jue","23","Jun","2021","9094","NONE","Comp"
"Alta Plaza Mall, Panama","Alta Plaza Mall","04/06/2021","Vie","23","Jun","2021","11355","NONE","Comp"
"Alta Plaza Mall, Panama","Alta Plaza Mall","05/06/2021","Sáb","23","Jun","2021","15400","NONE","Comp"
"Alta Plaza Mall, Panama","Alta Plaza Mall","06/06/2021","Dom","24","Jun","2021","15380","NONE","Comp"
"Alta Plaza Mall, Panama","Alta Plaza Mall","07/06/2021","Lun","24","Jun","2021","8283","NONE","Comp"
"Alta Plaza Mall, Panama","Alta Plaza Mall","08/06/2021","Mar","24","Jun","2021","9390","NONE","Comp"
"Alta Plaza Mall, Panama","Alta Plaza Mall","09/06/2021","Mie","24","Jun","2021","10348","NONE","Comp"
"Alta Plaza Mall, Panama","Alta Plaza Mall","10/06/2021","Jue","24","Jun","2021","9759","NONE","Comp"
"Alta Plaza Mall, Panama","Alta Plaza Mall","11/06/2021","Vie","24","Jun","2021","11963","NONE","Comp"
"Alta Plaza Mall, Panama","Alta Plaza Mall","12/06/2021","Sáb","24","Jun","2021","15110","NONE","Comp"
"Alta Plaza Mall, Panama","Alta Plaza Mall","13/06/2021","Dom","25","Jun","2021","15231","NONE","Comp"
"Alta Plaza Mall, Panama","Alta Plaza Mall","14/06/2021","Lun","25","Jun","2021","7707","NONE","Comp"
"Alta Plaza Mall, Panama","Alta Plaza Mall","15/06/2021","Mar","25","Jun","2021","8525","NONE","Comp"
"Alta Plaza Mall, Panama","Alta Plaza Mall","16/06/2021","Mie","25","Jun","2021","9527","NONE","Comp"
"Alta Plaza Mall, Panama","Alta Plaza Mall","17/06/2021","Jue","25","Jun","2021","9038","NONE","Comp"
"Alta Plaza Mall, Panama","Alta Plaza Mall","18/06/2021","Vie","25","Jun","2021","11825","NONE","Comp"
"Alta Plaza Mall, Panama","Alta Plaza Mall","19/06/2021","Sáb","25","Jun","2021","18200","NONE","Comp"
"Alta Plaza Mall, Panama","Alta Plaza Mall","20/06/2021","Dom","26","Jun","2021","14053","NONE","Comp"
"Alta Plaza Mall, Panama","Alta Plaza Mall","21/06/2021","Lun","26","Jun","2021","7084","NONE","Comp"
"Alta Plaza Mall, Panama","Alta Plaza Mall","22/06/2021","Mar","26","Jun","2021","7949","NONE","Comp"
